production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
The Zanuck Company,3585653875,275819528.84615386,16649768,1025467110,13,1167500000,89807692.3076923,7500000,200000000
Mandeville Films,3546057830,161184446.8181818,4500,1266115964,22,1065750000,48443181.81818182,9750000,160000000
PolyGram Filmed Entertainment,3527805993,86044048.6097561,178104,411348924,41,1342038000,32732634.14634146,1350000,125000000
Color Force,3520005279,320000479.90909094,12616995,865011746,11,642000000,58363636.36363637,13000000,160000000
Cruise/Wagner Productions,3514517914,234301194.26666668,2944752,603873119,15,1002500000,66833333.333333336,6000000,150000000
Revolution Studios,3508853850,87721346.25,7266209,346147658,40,1970560000,49264000.0,6000000,100000000
Fairview Entertainment,3474349592,694869918.4,45967935,1663075401,5,809000000,161800000.0,11000000,260000000
Constantin Film,3472748718,89044838.92307693,3175644,333535934,39,1478516771,37910686.43589743,200000,130000000
LStar Capital,3459825433,172991271.65,27979040,880166924,20,1173000000,58650000.0,18000000,175000000
Laura Ziskin Productions,3456454158,576075693.0,76932943,894983373,6,972000000,162000000.0,25000000,258000000
GK Films,3424974054,214060878.375,303877,903992901,16,1300500000,81281250.0,10000000,200000000
20th Century Studios,3416695093,284724591.0833333,30500000,2320250281,12,1280400000,106700000.0,4500000,460000000
Reliance Entertainment,3414212435,117731463.27586207,2847319,394638258,29,1431062000,49346965.51724138,3000000,163000000
China Film Group Corporation,3361608034,176926738.63157895,2054941,604380922,19,1247862827,65676990.89473684,10000000,200000000
